character,frequency
red queen,0.14564369310793238
humpty dumpty,0.12743823146944083
white queen,0.09102730819245773
tweedledum,0.08842652795838751
tweedledee,0.06762028608582575
unicorn,0.05721716514954486
sheep,0.0494148244473342
gnat,0.04681404421326398
lion,0.045513654096228866
lily,0.04161248374512354
rose,0.031209362808842653
tiger-lily,0.031209362808842653
hatta,0.02860858257477243
haigha,0.02600780234070221
frog,0.015604681404421327
white knight,0.015604681404421327
fawn,0.015604681404421327
white king,0.015604681404421327
red knight,0.013003901170351105
red king,0.013003901170351105
guard,0.013003901170351105
daisy,0.005201560468140442
daisies,0.005201560468140442
goat,0.005201560468140442
violet,0.002600780234070221
larkspur,0.002600780234070221
