character,frequency
alice,0.5419892793329363
red queen,0.06670637284097677
humpty dumpty,0.058368076235854674
white queen,0.04169148302561048
tweedledum,0.04050029779630732
tweedledee,0.030970815961882073
unicorn,0.026206075044669448
sheep,0.022632519356759976
gnat,0.02144133412745682
lion,0.02084574151280524
lily,0.019058963668850508
tiger-lily,0.01429422275163788
rose,0.01429422275163788
hatta,0.013103037522334724
haigha,0.011911852293031567
white king,0.00714711137581894
frog,0.00714711137581894
white knight,0.00714711137581894
fawn,0.00714711137581894
red knight,0.005955926146515783
red king,0.005955926146515783
guard,0.005955926146515783
daisy,0.0023823704586063135
daisies,0.0023823704586063135
goat,0.0023823704586063135
violet,0.0011911852293031567
larkspur,0.0011911852293031567
