character,frequency
alice,0.5235602094240838
duchess,0.07068062827225131
caterpillar,0.04712041884816754
white rabbit,0.041884816753926704
march hare,0.03926701570680628
two,0.031413612565445025
hatter,0.031413612565445025
dodo,0.028795811518324606
cook,0.02617801047120419
mouse,0.02617801047120419
bill,0.02617801047120419
duck,0.02356020942408377
queen of hearts,0.015706806282722512
gryphon,0.015706806282722512
dormouse,0.013089005235602094
five,0.010471204188481676
mock turtle,0.007853403141361256
lory,0.007853403141361256
seven,0.005235602094240838
knave of hearts,0.005235602094240838
eaglet,0.002617801047120419
