character,frequency
duchess,0.14835164835164835
caterpillar,0.0989010989010989
white rabbit,0.08791208791208792
march hare,0.08241758241758242
two,0.06593406593406594
hatter,0.06593406593406594
dodo,0.06043956043956044
cook,0.054945054945054944
mouse,0.054945054945054944
bill,0.054945054945054944
duck,0.04945054945054945
queen of hearts,0.03296703296703297
gryphon,0.03296703296703297
dormouse,0.027472527472527472
five,0.02197802197802198
mock turtle,0.016483516483516484
lory,0.016483516483516484
knave of hearts,0.01098901098901099
seven,0.01098901098901099
eaglet,0.005494505494505495
