source,target,count,normalized_count
caterpillar,two,2,0.03571428571428571
cheshire cat,cook,1,0.017857142857142856
dodo,duchess,1,0.017857142857142856
dodo,duck,2,0.03571428571428571
dodo,eaglet,2,0.03571428571428571
dodo,lory,2,0.03571428571428571
dodo,mouse,1,0.017857142857142856
dodo,two,1,0.017857142857142856
dormouse,duck,1,0.017857142857142856
dormouse,hatter,3,0.05357142857142857
dormouse,march hare,3,0.05357142857142857
dormouse,mouse,4,0.07142857142857142
caterpillar,duchess,1,0.017857142857142856
cheshire cat,duchess,1,0.017857142857142856
duchess,two,1,0.017857142857142856
duck,eaglet,1,0.017857142857142856
duck,lory,1,0.017857142857142856
duck,mouse,3,0.05357142857142857
duck,two,1,0.017857142857142856
duck,white rabbit,1,0.017857142857142856
eaglet,lory,1,0.017857142857142856
eaglet,mouse,1,0.017857142857142856
duchess,gryphon,2,0.03571428571428571
gryphon,mock turtle,3,0.05357142857142857
hatter,march hare,4,0.07142857142857142
hatter,mouse,2,0.03571428571428571
knave of hearts,queen of hearts,1,0.017857142857142856
lory,mouse,1,0.017857142857142856
march hare,mouse,3,0.05357142857142857
duchess,mock turtle,1,0.017857142857142856
duchess,queen of hearts,1,0.017857142857142856
two,white rabbit,1,0.017857142857142856
duchess,white rabbit,1,0.017857142857142856
queen of hearts,white rabbit,1,0.017857142857142856
