source,target,count,normalized_count
alice,bill,11,0.014360313315926894
alice,caterpillar,22,0.028720626631853787
alice,cheshire cat,10,0.013054830287206266
alice,cook,11,0.014360313315926894
alice,dodo,8,0.010443864229765013
alice,dormouse,27,0.03524804177545692
alice,duchess,38,0.04960835509138381
alice,duck,4,0.005221932114882507
alice,eaglet,4,0.005221932114882507
alice,five,6,0.007832898172323759
alice,frog-footman,1,0.0013054830287206266
alice,gryphon,42,0.05483028720626632
alice,hatter,41,0.05352480417754569
alice,knave of hearts,3,0.0039164490861618795
alice,lory,6,0.007832898172323759
alice,march hare,30,0.0391644908616188
alice,mock turtle,42,0.05483028720626632
alice,mouse,51,0.06657963446475196
alice,pigeon,8,0.010443864229765013
alice,queen of hearts,5,0.006527415143603133
alice,seven,5,0.006527415143603133
alice,two,48,0.06266318537859007
alice,white rabbit,22,0.028720626631853787
bill,duchess,1,0.0013054830287206266
bill,mock turtle,1,0.0013054830287206266
bill,mouse,1,0.0013054830287206266
bill,two,2,0.0026109660574412533
bill,white rabbit,1,0.0013054830287206266
caterpillar,gryphon,1,0.0013054830287206266
caterpillar,two,3,0.0039164490861618795
caterpillar,white rabbit,1,0.0013054830287206266
cheshire cat,cook,2,0.0026109660574412533
cheshire cat,duchess,2,0.0026109660574412533
cheshire cat,two,1,0.0013054830287206266
cook,dormouse,1,0.0013054830287206266
cook,duchess,7,0.009138381201044387
cook,five,1,0.0013054830287206266
cook,hatter,1,0.0013054830287206266
cook,mouse,1,0.0013054830287206266
cook,seven,1,0.0013054830287206266
cook,two,1,0.0013054830287206266
cook,white rabbit,1,0.0013054830287206266
dodo,duck,1,0.0013054830287206266
dodo,eaglet,4,0.005221932114882507
dodo,lory,1,0.0013054830287206266
dodo,mouse,2,0.0026109660574412533
dodo,two,2,0.0026109660574412533
dormouse,hatter,23,0.030026109660574413
dormouse,march hare,16,0.020887728459530026
dormouse,mouse,33,0.04308093994778068
dormouse,queen of hearts,1,0.0013054830287206266
dormouse,two,6,0.007832898172323759
dormouse,white rabbit,1,0.0013054830287206266
duchess,frog-footman,1,0.0013054830287206266
duchess,gryphon,1,0.0013054830287206266
duchess,hatter,1,0.0013054830287206266
duchess,march hare,1,0.0013054830287206266
duchess,mock turtle,2,0.0026109660574412533
duchess,mouse,2,0.0026109660574412533
duchess,white rabbit,3,0.0039164490861618795
duck,eaglet,1,0.0013054830287206266
duck,gryphon,1,0.0013054830287206266
duck,lory,1,0.0013054830287206266
duck,mouse,3,0.0039164490861618795
eaglet,lory,1,0.0013054830287206266
eaglet,mouse,1,0.0013054830287206266
five,seven,5,0.006527415143603133
five,two,3,0.0039164490861618795
gryphon,march hare,2,0.0026109660574412533
gryphon,mock turtle,36,0.04699738903394256
gryphon,mouse,2,0.0026109660574412533
gryphon,two,6,0.007832898172323759
gryphon,white rabbit,5,0.006527415143603133
hatter,knave of hearts,1,0.0013054830287206266
hatter,march hare,27,0.03524804177545692
hatter,mouse,25,0.03263707571801567
hatter,queen of hearts,2,0.0026109660574412533
hatter,two,6,0.007832898172323759
hatter,white rabbit,1,0.0013054830287206266
bill,knave of hearts,1,0.0013054830287206266
knave of hearts,queen of hearts,3,0.0039164490861618795
knave of hearts,white rabbit,2,0.0026109660574412533
lory,mouse,3,0.0039164490861618795
march hare,mouse,13,0.016971279373368148
march hare,queen of hearts,1,0.0013054830287206266
march hare,two,7,0.009138381201044387
march hare,white rabbit,1,0.0013054830287206266
caterpillar,mock turtle,1,0.0013054830287206266
duck,mock turtle,2,0.0026109660574412533
mock turtle,two,5,0.006527415143603133
mouse,queen of hearts,1,0.0013054830287206266
mouse,two,7,0.009138381201044387
mouse,white rabbit,2,0.0026109660574412533
pigeon,two,1,0.0013054830287206266
bill,queen of hearts,1,0.0013054830287206266
gryphon,queen of hearts,1,0.0013054830287206266
queen of hearts,white rabbit,3,0.0039164490861618795
seven,two,3,0.0039164490861618795
two,white rabbit,2,0.0026109660574412533
mock turtle,white rabbit,1,0.0013054830287206266
