source,target,count,normalized_count
bill,duchess,1,0.003115264797507788
bill,mock turtle,1,0.003115264797507788
bill,mouse,1,0.003115264797507788
bill,two,2,0.006230529595015576
bill,white rabbit,1,0.003115264797507788
caterpillar,gryphon,1,0.003115264797507788
caterpillar,two,3,0.009345794392523364
caterpillar,white rabbit,1,0.003115264797507788
cheshire cat,cook,2,0.006230529595015576
cheshire cat,duchess,2,0.006230529595015576
cheshire cat,two,1,0.003115264797507788
cook,dormouse,1,0.003115264797507788
cook,duchess,7,0.021806853582554516
cook,five,1,0.003115264797507788
cook,hatter,1,0.003115264797507788
cook,mouse,1,0.003115264797507788
cook,seven,1,0.003115264797507788
cook,two,1,0.003115264797507788
cook,white rabbit,1,0.003115264797507788
dodo,duck,1,0.003115264797507788
dodo,eaglet,4,0.012461059190031152
dodo,lory,1,0.003115264797507788
dodo,mouse,2,0.006230529595015576
dodo,two,2,0.006230529595015576
dormouse,hatter,23,0.07165109034267912
dormouse,march hare,16,0.04984423676012461
dormouse,mouse,33,0.102803738317757
dormouse,queen of hearts,1,0.003115264797507788
dormouse,two,6,0.018691588785046728
dormouse,white rabbit,1,0.003115264797507788
duchess,frog-footman,1,0.003115264797507788
duchess,gryphon,1,0.003115264797507788
duchess,hatter,1,0.003115264797507788
duchess,march hare,1,0.003115264797507788
duchess,mock turtle,2,0.006230529595015576
duchess,mouse,2,0.006230529595015576
duchess,white rabbit,3,0.009345794392523364
duck,eaglet,1,0.003115264797507788
duck,gryphon,1,0.003115264797507788
duck,lory,1,0.003115264797507788
duck,mouse,3,0.009345794392523364
eaglet,lory,1,0.003115264797507788
eaglet,mouse,1,0.003115264797507788
five,seven,5,0.01557632398753894
five,two,3,0.009345794392523364
gryphon,march hare,2,0.006230529595015576
gryphon,mock turtle,36,0.11214953271028037
gryphon,mouse,2,0.006230529595015576
gryphon,two,6,0.018691588785046728
gryphon,white rabbit,5,0.01557632398753894
hatter,knave of hearts,1,0.003115264797507788
hatter,march hare,27,0.08411214953271028
hatter,mouse,25,0.0778816199376947
hatter,queen of hearts,2,0.006230529595015576
hatter,two,6,0.018691588785046728
hatter,white rabbit,1,0.003115264797507788
bill,knave of hearts,1,0.003115264797507788
knave of hearts,queen of hearts,3,0.009345794392523364
knave of hearts,white rabbit,2,0.006230529595015576
lory,mouse,3,0.009345794392523364
march hare,mouse,13,0.040498442367601244
march hare,queen of hearts,1,0.003115264797507788
march hare,two,7,0.021806853582554516
march hare,white rabbit,1,0.003115264797507788
caterpillar,mock turtle,1,0.003115264797507788
duck,mock turtle,2,0.006230529595015576
mock turtle,two,5,0.01557632398753894
mouse,queen of hearts,1,0.003115264797507788
mouse,two,7,0.021806853582554516
mouse,white rabbit,2,0.006230529595015576
pigeon,two,1,0.003115264797507788
bill,queen of hearts,1,0.003115264797507788
gryphon,queen of hearts,1,0.003115264797507788
queen of hearts,white rabbit,3,0.009345794392523364
seven,two,3,0.009345794392523364
two,white rabbit,2,0.006230529595015576
mock turtle,white rabbit,1,0.003115264797507788
