source,target,count,normalized_count
alice,bill,3,0.023809523809523808
alice,caterpillar,6,0.047619047619047616
alice,cheshire cat,1,0.007936507936507936
alice,cook,3,0.023809523809523808
alice,dodo,3,0.023809523809523808
alice,dormouse,2,0.015873015873015872
alice,duchess,8,0.06349206349206349
alice,duck,1,0.007936507936507936
alice,five,1,0.007936507936507936
alice,gryphon,2,0.015873015873015872
alice,hatter,3,0.023809523809523808
alice,march hare,4,0.031746031746031744
alice,mock turtle,3,0.023809523809523808
alice,mouse,10,0.07936507936507936
alice,queen of hearts,1,0.007936507936507936
alice,seven,1,0.007936507936507936
alice,two,5,0.03968253968253968
alice,white rabbit,11,0.0873015873015873
caterpillar,two,2,0.015873015873015872
cheshire cat,cook,1,0.007936507936507936
dodo,duchess,1,0.007936507936507936
dodo,duck,2,0.015873015873015872
dodo,eaglet,2,0.015873015873015872
dodo,lory,2,0.015873015873015872
dodo,mouse,1,0.007936507936507936
dodo,two,1,0.007936507936507936
dormouse,duck,1,0.007936507936507936
dormouse,hatter,3,0.023809523809523808
dormouse,march hare,3,0.023809523809523808
dormouse,mouse,4,0.031746031746031744
caterpillar,duchess,1,0.007936507936507936
cheshire cat,duchess,1,0.007936507936507936
duchess,two,1,0.007936507936507936
duck,eaglet,1,0.007936507936507936
duck,lory,1,0.007936507936507936
duck,mouse,3,0.023809523809523808
duck,two,1,0.007936507936507936
duck,white rabbit,1,0.007936507936507936
alice,eaglet,1,0.007936507936507936
eaglet,lory,1,0.007936507936507936
eaglet,mouse,1,0.007936507936507936
duchess,gryphon,2,0.015873015873015872
gryphon,mock turtle,3,0.023809523809523808
hatter,march hare,4,0.031746031746031744
hatter,mouse,2,0.015873015873015872
knave of hearts,queen of hearts,1,0.007936507936507936
alice,lory,1,0.007936507936507936
lory,mouse,1,0.007936507936507936
march hare,mouse,3,0.023809523809523808
duchess,mock turtle,1,0.007936507936507936
duchess,queen of hearts,1,0.007936507936507936
two,white rabbit,1,0.007936507936507936
duchess,white rabbit,1,0.007936507936507936
queen of hearts,white rabbit,1,0.007936507936507936
